fighter_name,DOB,Height,Reach,Stance,Weight
Dan Bobish,26-Jan-70,"6' 2""",,Southpaw,345 lbs.
Mark Bocek,24-Oct-81,"5' 8""","75""",Orthodox,155 lbs.
Kyle Bochniak,5-Feb-87,"5' 7""","70""",Orthodox,145 lbs.
James Bochnovic,13-Feb-89,"6' 4""","81""",Orthodox,205 lbs.
Tim Boetsch,28-Jan-81,"6' 0""","74""",Orthodox,185 lbs.
Galore Bofando,22-May-82,"5' 11""","72""",Switch,170 lbs.
Jay Bogan,,,,,145 lbs.
Roman Bogatov,,"5' 8""",,,155 lbs.
Derek Bohi,,"6' 4""",,,260 lbs.
Jerry Bohlander,12-Feb-74,"5' 11""",,Orthodox,199 lbs.
Kotetsu Boku,27-May-77,"5' 9""",,Orthodox,154 lbs.
Kyle Bolt,,"6' 2""",,,185 lbs.
Luc Bondole,,"6' 2""",,,205 lbs.
Jesse Bongfeldt,28-Aug-80,"6' 0""",,Orthodox,185 lbs.
Marcos Bonilla,,"5' 10""",,,145 lbs.
Stephan Bonnar,4-Apr-77,"6' 4""","78""",Orthodox,205 lbs.
Rogerio Bontorin,25-Apr-92,"5' 5""","67""",Orthodox,125 lbs.
Ray Borg,4-Aug-93,"5' 4""","63""",Orthodox,135 lbs.
Igor Borisov,,"6' 0""",,Orthodox,235 lbs.
Tanner Boser,2-Aug-91,"6' 2""","75""",Orthodox,255 lbs.
Steve Bosse,29-Jul-81,"5' 11""","72""",Orthodox,205 lbs.
Marcus Bossett,,"6' 1""",,Orthodox,215 lbs.
Poliana Botelho,15-Dec-88,"5' 8""","67""",Orthodox,115 lbs.
Francois Botha,28-Sep-68,"6' 2""",,Orthodox,260 lbs.
Gregory Bouchelaghem,,"6' 2""",,Switch,183 lbs.
Roy Boughton,,"6' 0""",,,205 lbs.
Rich Bouphanouvong,,"5' 7""",,,170 lbs.
Mike Bourke,,"6' 0""",,Orthodox,275 lbs.
Tai Bowden,,"5' 11""",,,230 lbs.
Melton Bowen,16-Jul-69,"6' 0""",,Orthodox,225 lbs.
Brian Bowles,22-Jun-80,"5' 7""","70""",Orthodox,135 lbs.
Roger Bowling,5-Dec-82,"5' 9""","68""",Orthodox,155 lbs.
Blake Bowman,,"6' 2""",,,170 lbs.
Ashe Bowman,17-Nov-76,"5' 9""",,,155 lbs.
Kyle Bradley,19-Aug-82,"5' 9""","71""",Orthodox,155 lbs.
Paul Bradley,13-Jun-83,"5' 9""",,Orthodox,170 lbs.
Sean Brady,23-Nov-92,"5' 10""","72""",Orthodox,170 lbs.
Ebenezer Fontes Braga,14-Apr-69,"6' 0""",,Orthodox,199 lbs.
Ramiz Brahimaj,17-Nov-92,"5' 10""","73""",Orthodox,170 lbs.
Joe Brammer,23-Aug-83,"5' 8""",,Orthodox,155 lbs.
David Branch,26-Sep-81,"6' 1""","78""",Orthodox,185 lbs.
Diego Brandao,27-May-87,"5' 7""","68""",Orthodox,145 lbs.
Martin Bravo,21-Sep-93,"5' 8""","71""",Southpaw,145 lbs.
Tom Breese,26-Sep-91,"6' 3""","73""",Southpaw,185 lbs.
Chris Brennan,12-Oct-71,"5' 8""",,Orthodox,170 lbs.
Charlie Brenneman,9-Feb-81,"5' 10""","72""",Orthodox,155 lbs.
Robert Breslin,,"5' 11""",,,155 lbs.
Mack Brewer,,,,,205 lbs.
Marcos Brigagao,1-Apr-96,"6' 3""","76""",Southpaw,205 lbs.
Jason Brilz,7-Jul-75,"5' 11""","71""",Orthodox,205 lbs.
Marcus Brimage,6-Apr-85,"5' 4""","71""",Southpaw,135 lbs.
Aaron Brink,12-Nov-74,"6' 3""",,Orthodox,205 lbs.
Henry Briones,22-Oct-80,"5' 8""","69""",Orthodox,135 lbs.
Marcelo Brito,27-Nov-77,"6' 1""",,Orthodox,170 lbs.
Antwain Britt,9-May-78,"6' 1""","77""",,205 lbs.
Mike Bronzoulis,5-Jan-79,"6' 0""",,,155 lbs.
Jonathan Brookins,13-Aug-85,"6' 0""","73""",Southpaw,145 lbs.
Will Brooks,8-Oct-86,"5' 10""","72""",Orthodox,155 lbs.
CM Punk,26-Oct-78,"6' 1""","73""",Orthodox,170 lbs.
Jarred Brooks,2-May-93,"5' 3""","62""",Switch,125 lbs.
Rob Broughton,3-Mar-83,"6' 2""","74""",Orthodox,265 lbs.
Lee Brousseau,4-Oct-74,"6' 1""",,,205 lbs.
Matt Brown,10-Jan-81,"6' 0""","75""",Orthodox,170 lbs.
Mike Brown,8-Sep-75,"5' 6""","70""",Orthodox,145 lbs.
Dominic Brown,4-Jun-82,"5' 11""",,,190 lbs.
Todd Brown,13-Dec-76,"5' 11""",,Orthodox,205 lbs.
Terrell Brown,13-Apr-83,,,,185 lbs.
Chris Brown,,,,,170 lbs.
Frederick Brown,,"6' 0""",,,235 lbs.
Randy Brown,8-Jul-90,"6' 3""","78""",Orthodox,170 lbs.
Damien Brown,25-Dec-84,"5' 10""","68""",Orthodox,155 lbs.
TJ Brown,22-May-90,"5' 9""","72""",Switch,145 lbs.
Humberto Brown,3-Nov-84,"5' 10""","71""",,145 lbs.
Travis Browne,17-Jul-82,"6' 6""","79""",Orthodox,255 lbs.
Junie Browning,12-May-84,"5' 9""",,Orthodox,155 lbs.
Jules Bruchez,16-Aug-77,"6' 0""",,Southpaw,205 lbs.
Justin Bruckmann,,"5' 9""",,Orthodox,170 lbs.
Steve Bruno,3-Nov-81,"5' 10""",,Orthodox,170 lbs.
Fernando Bruno,24-Feb-82,"5' 6""","70""",,145 lbs.
Derek Brunson,4-Jan-84,"6' 1""","77""",Southpaw,185 lbs.
Josh Bryant,23-Apr-80,"5' 10""",,Orthodox,185 lbs.
Dennis Bryant,18-Oct-85,"6' 0""","72""",Orthodox,205 lbs.
Justin Buchholz,22-Aug-83,"6' 0""","73""",Orthodox,155 lbs.
Courtney Buck,19-Mar-82,"5' 10""",,Orthodox,135 lbs.
Julia Budd,4-Jul-83,"5' 7""","67""",,145 lbs.
Mike Budnik,8-Aug-74,"5' 9""","68""",Orthodox,145 lbs.
Francisco Bueno,,"5' 9""",,Orthodox,225 lbs.
Mayra Bueno Silva,22-Aug-91,"5' 6""","66""",Orthodox,135 lbs.
Paul Buentello,16-Jan-74,"6' 2""","77""",Orthodox,245 lbs.
Modestas Bukauskas,10-Feb-94,"6' 3""",,,205 lbs.
Lee Kwan Bum,,"6' 2""",,Orthodox,286 lbs.
Josh Bumgarner,,"6' 1""",,,170 lbs.
Shawn Bunch,19-Mar-83,"5' 5""",,,135 lbs.
Wuliji Buren,1-Mar-89,"5' 9""","69""",Orthodox,135 lbs.
Shane Burgos,19-Mar-91,"5' 11""","75""",Orthodox,145 lbs.
Joshua Burkman,10-Apr-80,"5' 10""","72""",Orthodox,170 lbs.
Mads Burnell,6-Mar-94,"5' 8""","69""",Orthodox,145 lbs.
Mikey Burnett,12-Apr-74,"5' 6""",,Orthodox,170 lbs.
Kevin Burns,3-Mar-80,"5' 10""","74""",Orthodox,170 lbs.
Gilbert Burns,20-Jul-86,"5' 10""","71""",Orthodox,170 lbs.
Josh Burns,15-May-78,"6' 1""",,,244 lbs.
Herbert Burns,2-Feb-88,"5' 9""","73""",Orthodox,145 lbs.
Nah-Shon Burrell,5-Feb-90,"5' 11""","73""",Orthodox,170 lbs.
Martin Buschkamp,6-Jan-91,"5' 9""","70""",Orthodox,145 lbs.
George Bush,,"6' 1""",,,205 lbs.
Bubba Bush,24-Jul-85,"6' 0""","73""",Orthodox,185 lbs.
Murilo Bustamante,30-Jul-66,"6' 2""",,Orthodox,183 lbs.
Nick Bustamante,,"5' 9""",,,170 lbs.
Eduardo Bustillos,2-Jun-87,"5' 8""",,,135 lbs.
Jason Butcher,23-Oct-84,"6' 3""",,,185 lbs.
Todd Butler,,"6' 1""",,Southpaw,200 lbs.
Raphael Butler,4-Jan-84,"6' 3""",,,261 lbs.
JP Buys,30-Apr-96,"5' 6""","66""",Orthodox,125 lbs.
Charles Byrd,11-Oct-83,"5' 10""","73""",Orthodox,185 lbs.
Steve Byrnes,,"6' 0""",,Orthodox,170 lbs.
Michael Byrnes,17-Jul-90,"5' 11""",,,155 lbs.
